"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_bill_payment_message","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","1","test_sum[0--90--90]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_multiply[1--100--100]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_sum[-90-90-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_stack_push","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","TestStack","test_stack","",""
"","0","test_multiply[-90-90--8100]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[1--100--99]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_divide","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_sum[1--100--99]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_abs","tests","Sat Jul 25 20:02:36 EEST 2026","skipped","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_multiply[2-3-6]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[-1-1-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_insert_into_db","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_fixtures","",""
"","1","test_stack_pop","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","TestStack","test_stack","",""
"","1","test_update_in_db","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_fixtures","",""
"","0","test_multiply[100-10-1000]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[2-3-5]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[90--80-10]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_multiply[-1-0-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[0--90--90]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_sum[-1-1-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_sum[100-1000-1100]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","1","test_sqrt","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_subtract","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[100-1000-1100]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_add[-90-90-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_multiply[0--90-0]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_delete_from_db","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_fixtures","",""
"","0","test_sum[2-3-5]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_power","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_multiply[90--80--7200]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_sum[90--80-10]","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_factorial","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
"","0","test_mod","tests","Sat Jul 25 20:02:36 EEST 2026","passed","Sat Jul 25 20:02:36 EEST 2026","","test_calculator","",""
